meter_number,poc_number,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period
4214110605,498093,22,1.3516391184573004,0.7164119236887837,2021-03-31,2021-07-31,4,6,2.0,0.5,2020-04-30,2021-03-31,11,10,3.0,0.27
4214112684,400909,23,1.2127777777777777,0.6442063319892056,2020-02-29,2020-12-31,10,0,3.8,0.38,2020-02-29,2020-12-31,10,0,3.8,0.38
4214116354,498104,17,1.8274250348004735,1.9448456696371692,2021-12-31,2022-03-31,3,0,5.7,1.9,2017-11-30,2018-10-31,11,41,1.9,0.17
4214117410,498141,21,0.9209637188208616,0.5478915100376675,2021-10-31,2021-12-31,2,0,2.0,1.0,2020-08-31,2021-10-31,14,2,2.0,0.14
4214120380,498139,21,1.848372969387441,0.7466061741202246,2022-01-31,2022-03-31,2,0,5.7,2.85,2013-02-28,2013-11-30,9,100,14.5,1.61
4214130777,498144,21,1.003194444444444,0.43727840508008475,2019-03-31,2019-09-30,6,30,4.9,0.82,2018-03-31,2018-12-31,9,39,4.7,0.52
4214131148,498099,26,1.7362179487179488,0.46551450207663286,2021-10-31,2021-12-31,2,1,4.8,2.4,2013-05-31,2013-09-30,4,100,7.0,1.75
4214136691,497988,25,1.7739523809523812,1.0341747068377947,2021-05-31,2021-08-31,3,1,4.8,1.6,2018-03-31,2020-04-30,25,17,3.0,0.12
4214137640,498098,22,1.7529306047487863,0.9353443784454697,2021-09-30,2022-01-31,4,0,2.0,0.5,2013-02-28,2014-12-31,22,85,37.9,1.72
4214137871,498108,27,1.0897119341563788,0.5943102108040794,2021-09-30,2021-11-30,2,0,2.0,1.0,2019-11-30,2020-08-31,9,15,2.0,0.22
4214152342,498138,6,1.58,0.8908422980528036,2021-10-31,2021-12-31,2,3,2.0,1.0,2013-04-30,2013-06-30,2,105,3.2,1.6
4220014346,498151,10,4.429629629629629,1.9973095758640258,2021-07-31,2021-09-30,2,6,16.7,8.35,2012-10-31,2013-01-31,3,110,9.5,3.17
4220015467,498127,25,3.4408499999999993,1.8339319041035547,2020-08-31,2021-12-31,16,0,2.9,0.18,2020-08-31,2021-12-31,16,0,2.9,0.18
4222981724,497798,7,5.222585034013605,3.5563493351007183,2021-09-30,2021-12-31,3,0,14.2,4.73,2020-03-31,2020-10-31,7,14,9.6,1.37
4222982482,497809,10,5.0419090909090905,2.0170946887717185,2021-03-31,2021-05-31,2,9,12.5,6.25,2013-09-30,2014-08-31,11,90,72.7,6.61
4222995302,497799,14,2.261117216117216,0.910575157559756,2019-06-30,2019-09-30,3,0,4.3,1.43,2013-06-30,2014-07-31,13,62,12.9,0.99
4222995948,497807,18,3.7873378816132055,1.409096940216941,2022-01-31,2022-03-31,2,0,8.54,4.27,2013-03-31,2013-05-31,2,106,3.2,1.6
4223080864,498160,11,8.063636363636363,1.8653650519025775,2020-01-31,2020-04-30,3,22,14.4,4.8,2020-01-31,2020-04-30,3,22,14.4,4.8
4223081284,497984,2,1.2750000000000001,0.0,2013-03-31,2013-07-31,4,104,5.1,1.28,2013-03-31,2013-07-31,4,104,5.1,1.28
4223303027,498088,4,20.238888888888887,18.785979471173658,2020-02-29,2020-04-30,2,23,6.3,3.15,2013-06-30,2013-09-30,3,102,33.5,11.17
4223303100,498082,11,1.9549999999999996,2.0223733307401206,2021-11-30,2022-01-31,2,2,2.0,1.0,2014-04-30,2015-07-31,15,80,116.8,7.79
4223362593,497789,14,4.7974319727891155,4.5690748051948376,2021-11-30,2022-01-31,2,1,4.3,2.15,2021-04-30,2021-11-30,7,3,4.8,0.69
4223364052,497813,34,1.7960784313725486,0.6599763417171084,2021-09-30,2021-12-31,3,0,4.3,1.43,2013-07-31,2013-11-30,4,97,4.2,1.05
4223644339,497810,17,6.442156862745098,3.880175723932706,2021-11-30,2022-01-31,2,1,15.2,7.6,2016-08-31,2016-12-31,4,62,9.3,2.33
4223644446,497811,2,11.05,0.0,2013-10-31,2013-12-31,2,99,22.1,11.05,2013-10-31,2013-12-31,2,99,22.1,11.05
4223644875,497843,19,1.8410087719298247,1.3099360665548012,2021-04-30,2021-08-31,4,0,2.0,0.5,2019-04-30,2020-04-30,12,16,2.0,0.17
4223644891,497797,8,1.6406159812409813,1.8233412321513816,2018-05-31,2022-01-31,44,1,1.9,0.04,2018-05-31,2022-01-31,44,1,1.9,0.04
4223957566,497802,13,2.3720690420690422,2.2329669748366503,2021-04-30,2021-08-31,4,0,2.0,0.5,2019-06-30,2021-04-30,22,4,2.9,0.13
4223958390,497806,7,0.9640763997906855,1.1798877684477787,2020-12-31,2021-07-31,7,6,2.0,0.29,2018-08-31,2019-09-30,13,28,1.9,0.15
4223960172,497795,1,10.45,0.0,2013-03-31,2013-05-31,2,1,20.9,10.45,2013-03-31,2013-05-31,2,1,20.9,10.45
4223961329,497808,29,4.510919540229885,2.263267718066329,2021-11-30,2022-01-31,2,1,16.7,8.35,2019-02-28,2019-08-31,6,30,9.6,1.6
4224057713,497792,30,1.8820555555555556,0.6707989547206531,2021-11-30,2022-03-31,4,0,4.8,1.2,2020-03-31,2020-11-30,8,16,9.6,1.2
4224057986,497793,5,3.1513888888888886,2.4756511021607284,2017-12-31,2018-02-28,2,49,14.2,7.1,2013-03-31,2016-03-31,36,72,15.8,0.44
4224058091,497791,8,5.413095238095239,3.735729081278176,2020-12-31,2021-02-28,2,13,7.4,3.7,2013-09-30,2014-01-31,4,98,6.3,1.58
4224088304,497812,18,2.4518518518518513,0.9814377348741193,2021-10-31,2021-12-31,2,2,4.8,2.4,2018-10-31,2019-03-31,5,35,4.4,0.88
4224135220,498157,13,6.955128205128204,3.472082705941317,2021-07-31,2021-10-31,3,3,16.7,5.57,2013-02-28,2017-11-30,57,50,19.0,0.33
4224135899,498019,14,3.990506415110497,4.268837988837642,2021-12-31,2022-02-28,2,1,4.75,2.37,2013-08-31,2016-05-31,33,70,41.1,1.25
